"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,86,"DEU","Germany",1,"Baden-Württemberg","Land","State",NA,NA
2,86,"DEU","Germany",2,"Bayern","Land","State",NA,"Bavaria"
3,86,"DEU","Germany",3,"Berlin","Land","State",NA,NA
4,86,"DEU","Germany",4,"Brandenburg","Land","State",NA,NA
5,86,"DEU","Germany",5,"Bremen","Land","State",NA,NA
6,86,"DEU","Germany",6,"Hamburg","Land","State",NA,NA
7,86,"DEU","Germany",7,"Hessen","Land","State",NA,"Hesse"
8,86,"DEU","Germany",8,"Mecklenburg-Vorpommern","Land","State",NA,"Mecklenburg-West Pomerania"
9,86,"DEU","Germany",9,"Niedersachsen","Land","State",NA,"Lower Saxony"
10,86,"DEU","Germany",10,"Nordrhein-Westfalen","Land","State",NA,"North Rhine-Westphalia"
11,86,"DEU","Germany",11,"Rheinland-Pfalz","Land","State",NA,"Rhineland-Palatinate"
12,86,"DEU","Germany",12,"Saarland","Land","State",NA,NA
13,86,"DEU","Germany",13,"Sachsen-Anhalt","Land","State",NA,"Saxony-Anhalt"
14,86,"DEU","Germany",14,"Sachsen","Land","State",NA,"Saxony"
15,86,"DEU","Germany",15,"Schleswig-Holstein","Land","State",NA,NA
16,86,"DEU","Germany",16,"Thüringen","Land","State",NA,"Thuringia"
