"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg","Regierungsbezirk","Administrative Region",NA,"Friburgo|Fribourg"
2,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe","Regierungsbezirk","Administrative Region",NA,NA
3,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart","Regierungsbezirk","Administrative Region",NA,"Estugarda"
4,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen","Regierungsbezirk","Administrative Region",NA,"Tubinga"
5,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken","Regierungsbezirk","Administrative Region",NA,"Franconia Central|Middle Franconia|Média Francónia| Moyenne-Franconie"
6,86,"DEU","Germany",2,"Bayern",6,"Niederbayern","Regierungsbezirk","Administrative Region",NA,"Lower Bavaria|Baixa Baviera|Baja Baviera|Basse-Bavière"
7,86,"DEU","Germany",2,"Bayern",7,"Oberbayern","Regierungsbezirk","Administrative Region",NA,"Upper Bavaria|Alta Baviera|Haute-Bavière"
8,86,"DEU","Germany",2,"Bayern",8,"Oberfranken","Regierungsbezirk","Administrative Region",NA,"Upper Franconia|Alta Franconia|Alta Francónia |Haute-Franconie"
9,86,"DEU","Germany",2,"Bayern",9,"Oberpfalz","Regierungsbezirk","Administrative Region",NA,"Upper Palatinate|Alto Palatinado|Haut-Palatinat"
10,86,"DEU","Germany",2,"Bayern",10,"Schwaben","Regierungsbezirk","Administrative Region",NA,"Swabia|Suabia|Suábia|Souabe"
11,86,"DEU","Germany",2,"Bayern",11,"Unterfranken","Regierungsbezirk","Administrative Region",NA,"Lower Franconia|Baixa Francónia|Baja Franconia|Basse-Franconie"
12,86,"DEU","Germany",3,"Berlin",12,"Berlin","Kreisfreie Städte","City",NA,NA
13,86,"DEU","Germany",4,"Brandenburg",13,"Brandenburg","Land|Bundesland","State|Federal State",NA,NA
14,86,"DEU","Germany",5,"Bremen",14,"Bremen","Kreisfreie Städte","City",NA,"Brema|Brême"
15,86,"DEU","Germany",5,"Bremen",15,"Bremerhaven","Kreisfreie Stadt","City","<Null>","<Null>"
16,86,"DEU","Germany",6,"Hamburg",16,"Hamburg","Kreisfreie Städte","City",NA,"Hamburgo|Hambourg"
17,86,"DEU","Germany",7,"Hessen",17,"Darmstadt","Regierungsbezirk","Administrative Region",NA,NA
18,86,"DEU","Germany",7,"Hessen",18,"Gießen","Regierungsbezirk","Administrative Region",NA,NA
19,86,"DEU","Germany",7,"Hessen",19,"Kassel","Regierungsbezirk","Administrative Region",NA,NA
20,86,"DEU","Germany",8,"Mecklenburg-Vorpommern",20,"Mecklenburg-Vorpommern","Land|Bundesland","State|Federal State",NA,"Mecklemburgo-Pomerania Occidental|Mecklenburg-West Pomerania|Meclemburgo-Pomerânia Ocidental|Mecklembourg-Pom*"
