"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",1,"Breisgau-Hochschwarzwald","Landkreise","Rural district",NA,NA
2,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",2,"Emmendingen","Landkreise","Rural district",NA,NA
3,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",3,"Freiburg",NA,NA,NA,NA
4,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",4,"Konstanz","Landkreise","Rural district",NA,"Constance"
5,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",5,"Lörrach 
Lörrach 
","Landkreise","Rural district",NA,"Lörrach"
6,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",6,"Ortenaukreis","Landkreise","Rural district",NA,NA
7,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",7,"Rottweil","Landkreise","Rural district",NA,NA
8,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",8,"Schwarzwald-Baar-Kreis","Landkreise","Rural district",NA,NA
9,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",9,"Tuttlingen","Landkreise","Rural district",NA,NA
10,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg",10,"Waldshut","Landkreise","Rural district",NA,NA
11,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",11,"Baden-Baden Städte","Kreisfreie Städte","Urban district",NA,NA
12,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",12,"Calw","Landkreise","Rural district",NA,NA
13,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",13,"Enz","Landkreise","Rural district",NA,NA
14,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",14,"Freudenstadt","Landkreise","Rural district",NA,NA
15,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",15,"Heidelberg Städte","Kreisfreie Städte","Urban district",NA,NA
16,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",16,"Karlsruhe Städte","Kreisfreie Städte","Urban district",NA,NA
17,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",17,"Karlsruhe","Landkreise","Rural district",NA,NA
18,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",18,"Mannheim Städte","Kreisfreie Städte","Urban district",NA,NA
19,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",19,"Neckar-Odenwald-Kreis","Landkreise","Rural district",NA,NA
20,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",20,"Pforzheim Städte","Kreisfreie Städte","Urban district",NA,NA
21,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",21,"Rastatt","Landkreise","Rural district",NA,NA
22,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe",22,"Rhein-Neckar-Kreis","Landkreise","Rural district",NA,NA
23,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",23,"Böblingen","Landkreise","Rural district",NA,NA
24,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",24,"Esslingen","Landkreise","Rural district",NA,NA
25,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",25,"Göppingen","Landkreise","Rural district",NA,NA
26,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",26,"Heidenheim","Landkreise","Rural district",NA,NA
27,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",27,"Heilbronn city Städte","Kreisfreie Städte","Urban district",NA,"Heilbronn"
28,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",28,"Heilbronn","Landkreise","Rural district",NA,NA
29,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",29,"Hohenlohe","Landkreise","Rural district",NA,NA
30,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",30,"Ludwigsburg","Landkreise","Rural district",NA,NA
31,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",31,"Main-Tauber","Landkreise","Rural district",NA,NA
32,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",32,"Ostalbkreis","Landkreise","Rural district",NA,NA
33,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",33,"Rems-Murr-Kreis","Landkreise","Rural district",NA,NA
34,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",34,"Schwäbisch Hall","Landkreise","Rural district",NA,NA
35,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",35,"Stuttgart Städte","Kreisfreie Städte","Urban district",NA,NA
36,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",36,"Alb-Donau","Landkreise","Rural district",NA,NA
37,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",37,"Biberach","Landkreise","Rural district",NA,NA
38,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",38,"Bodensee","Landkreise","Rural district",NA,NA
39,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",39,"Ravensburg","Landkreise","Rural district",NA,NA
40,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",40,"Reutlingen","Landkreise","Rural district",NA,NA
41,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",41,"Sigmaringen","Landkreise","Rural district",NA,NA
42,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",42,"Tübingen","Landkreise","Rural district",NA,NA
43,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",43,"Ulm Städte","Kreisfreie Städte","Urban district",NA,NA
44,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen",44,"Zollernalbkreis","Landkreise","Rural district",NA,NA
45,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",45,"Ansbach Städte","Kreisfreie Städte","Urban district",NA,NA
46,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",46,"Ansbach","Landkreise","Rural district",NA,NA
47,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",47,"Erlangen-Höchstadt","Landkreise","Rural district",NA,NA
48,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",48,"Erlangen Städte","Kreisfreie Städte","Urban district",NA,NA
49,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",49,"Fürth Städte","Kreisfreie Städte","Urban district",NA,NA
50,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",50,"Fürth","Landkreise","Rural district",NA,NA
51,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",51,"Nürnberger Land","Landkreise","Rural district",NA,NA
52,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",52,"Neustadt-Bad Windsheim","Landkreise","Rural district",NA,"Neustadt a.d.Aisch-Bad Windsheim|"
53,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",53,"Nuremberg Städte","Kreisfreie Städte","Urban district",NA,"Nürnberg"
54,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",54,"Roth","Landkreise","Rural district",NA,NA
55,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",55,"Schwabach Städte","Kreisfreie Städte","Urban district",NA,NA
56,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken",56,"Weißenburg-Gunzenhausen","Landkreise","Rural district",NA,NA
57,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",57,"Deggendorf","Landkreise","Rural district",NA,NA
58,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",58,"Dingolfing-Landau","Landkreise","Rural district",NA,NA
59,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",59,"Freyung-Grafenau","Landkreise","Rural district",NA,NA
60,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",60,"Kelheim","Landkreise","Rural district",NA,NA
61,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",61,"Landshut Städte","Kreisfreie Städte","Urban district",NA,NA
62,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",62,"Landshut","Landkreise","Rural district",NA,NA
63,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",63,"Passau Städte","Kreisfreie Städte","Urban district",NA,NA
64,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",64,"Passau","Landkreise","Rural district",NA,NA
65,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",65,"Regen","Landkreise","Rural district",NA,NA
66,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",66,"Rottal-Inn","Landkreise","Rural district",NA,NA
67,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",67,"Straubing-Bogen","Landkreise","Rural district",NA,NA
68,86,"DEU","Germany",2,"Bayern",6,"Niederbayern",68,"Straubing Städte","Kreisfreie Städte","Urban district",NA,NA
69,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",69,"Altötting","Landkreise","Rural district",NA,NA
70,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",70,"Bad Tölz-Wolfratshausen","Landkreise","Rural district",NA,NA
71,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",71,"Berchtesgadener Land","Landkreise","Rural district",NA,NA
72,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",72,"Dachau","Landkreise","Rural district",NA,NA
73,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",73,"Ebersberg","Landkreise","Rural district",NA,NA
74,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",74,"Eichstätt","Landkreise","Rural district",NA,NA
75,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",75,"Erding","Landkreise","Rural district",NA,NA
76,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",76,"Fürstenfeldbruck","Landkreise","Rural district",NA,NA
77,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",77,"Freising","Landkreise","Rural district",NA,NA
78,86,"DEU","Germany",2,"Bayern",7,"Oberbayern",78,"Garmisch-Partenkirchen","Landkreise","Rural district",NA,NA
