"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",1,"Haguenau","Arrondissement","Districts",NA,NA
2,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim","Arrondissement","Districts",NA,NA
3,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein","Arrondissement","Districts",NA,NA
4,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne","Arrondissement","Districts",NA,NA
5,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne","Arrondissement","Districts",NA,NA
6,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",6,"Strasbourg-Ville","Arrondissement","Districts",NA,NA
7,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg","Arrondissement","Districts",NA,NA
8,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",8,"Altkirch","Arrondissement","Districts",NA,NA
9,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar","Arrondissement","Districts",NA,NA
10,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",10,"Guebwiller","Arrondissement","Districts",NA,NA
11,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",11,"Mulhouse","Arrondissement","Districts",NA,NA
12,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",12,"Ribeauvillé","Arrondissement","Districts",NA,NA
13,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",13,"Thann","Arrondissement","Districts",NA,NA
14,79,"FRA","France",2,"Aquitaine",3,"Dordogne",14,"Bergerac","Arrondissement","Districts",NA,NA
15,79,"FRA","France",2,"Aquitaine",3,"Dordogne",15,"Nontron","Arrondissement","Districts",NA,NA
16,79,"FRA","France",2,"Aquitaine",3,"Dordogne",16,"Périgueux","Arrondissement","Districts",NA,NA
17,79,"FRA","France",2,"Aquitaine",3,"Dordogne",17,"Sarlat-la-Canéda","Arrondissement","Districts",NA,NA
18,79,"FRA","France",2,"Aquitaine",4,"Gironde",18,"Arcachon","Arrondissement","Districts",NA,NA
19,79,"FRA","France",2,"Aquitaine",4,"Gironde",19,"Blaye","Arrondissement","Districts",NA,NA
