"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",1,"Haguenau",1,"Bischwiller",NA,"Canton","Cantons"
2,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",1,"Haguenau",2,"Haguenau",NA,"Canton","Cantons"
3,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",1,"Haguenau",3,"Niederbronn-les-Bains",NA,"Canton","Cantons"
4,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim",4,"Molsheim",NA,"Canton","Cantons"
5,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim",5,"Rosheim",NA,"Canton","Cantons"
6,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim",6,"Saales",NA,"Canton","Cantons"
7,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim",7,"Schirmeck",NA,"Canton","Cantons"
8,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim",8,"Wasselonne",NA,"Canton","Cantons"
9,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",9,"Barr",NA,"Canton","Cantons"
10,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",10,"Benfeld",NA,"Canton","Cantons"
11,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",11,"Erstein",NA,"Canton","Cantons"
12,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",12,"Marckolsheim",NA,"Canton","Cantons"
13,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",13,"Obernai",NA,"Canton","Cantons"
14,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",14,"Sélestat",NA,"Canton","Cantons"
15,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",15,"Villé",NA,"Canton","Cantons"
16,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",16,"Bouxwiller",NA,"Canton","Cantons"
17,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",17,"Drulingen",NA,"Canton","Cantons"
18,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",18,"La Petite-Pierre",NA,"Canton","Cantons"
19,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",19,"Marmoutier",NA,"Canton","Cantons"
20,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",20,"Sarre-Union",NA,"Canton","Cantons"
21,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",21,"Saverne",NA,"Canton","Cantons"
22,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",22,"Bischheim",NA,"Canton","Cantons"
23,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",23,"Brumath",NA,"Canton","Cantons"
24,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",24,"Geispolsheim",NA,"Canton","Cantons"
25,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",25,"Hochfelden",NA,"Canton","Cantons"
26,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",26,"Illkirch-Graffenstaden",NA,"Canton","Cantons"
27,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",27,"Mundolsheim",NA,"Canton","Cantons"
28,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",28,"Schiltigheim",NA,"Canton","Cantons"
29,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",29,"Truchtersheim",NA,"Canton","Cantons"
30,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",6,"Strasbourg-Ville",30,"Strasbourg",NA,"Canton","Cantons"
31,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg",31,"Lauterbourg",NA,"Canton","Cantons"
32,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg",32,"Seltz",NA,"Canton","Cantons"
33,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg",33,"Soultz-sous-Forêts",NA,"Canton","Cantons"
34,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg",34,"Wœrth",NA,"Canton","Cantons"
35,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg",35,"Wissembourg",NA,"Canton","Cantons"
36,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",8,"Altkirch",36,"Altkirch",NA,"Canton","Cantons"
37,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",8,"Altkirch",37,"Dannemarie",NA,"Canton","Cantons"
38,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",8,"Altkirch",38,"Ferrette",NA,"Canton","Cantons"
39,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",8,"Altkirch",39,"Hirsingue",NA,"Canton","Cantons"
40,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",40,"Andolsheim",NA,"Canton","Cantons"
41,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",41,"Colmar-Sud",NA,"Canton","Cantons"
42,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",42,"Colmar",NA,"Canton","Cantons"
43,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",43,"Munster",NA,"Canton","Cantons"
44,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",44,"Neuf-Brisach",NA,"Canton","Cantons"
45,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",45,"Wintzenheim",NA,"Canton","Cantons"
46,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",10,"Guebwiller",46,"Ensisheim",NA,"Canton","Cantons"
47,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",10,"Guebwiller",47,"Guebwiller",NA,"Canton","Cantons"
48,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",10,"Guebwiller",48,"Rouffach",NA,"Canton","Cantons"
