"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,112,"ITA","Italy",1,"Abruzzo","Regione","Region",NA,"Abruzos|Abruzzen|Abruzzes|Abruzzi"
2,112,"ITA","Italy",2,"Apulia","Regione","Region",NA,"Apulien|Pouilles|Pouille|Puglia|Puglie"
3,112,"ITA","Italy",3,"Basilicata","Regione","Region",NA,"Basilicate|Lucania"
4,112,"ITA","Italy",4,"Calabria","Regione","Region",NA,"Calabre|Calabrie|Kalabrien"
5,112,"ITA","Italy",5,"Campania","Regione","Region",NA,"Campanha|Campanie|Kampanien"
6,112,"ITA","Italy",6,"Emilia-Romagna","Regione","Region",NA,"Emilia Romagna|Emilia|Emilia-Romaña|Émilie-Romagne"
7,112,"ITA","Italy",7,"Friuli-Venezia Giulia","Regione","Autonomous Region",NA,"Friuli Venezia Giulia|Friuli-Venecia Julia"
8,112,"ITA","Italy",8,"Lazio","Regione","Region",NA,"Lacio|Latium"
9,112,"ITA","Italy",9,"Liguria","Regione","Region",NA,"Ligurie|Ligurien"
10,112,"ITA","Italy",10,"Lombardia","Regione","Region",NA,"Lombardy|Lombardei|Lombardie"
11,112,"ITA","Italy",11,"Marche","Regione","Region",NA,"Marches|Marca"
12,112,"ITA","Italy",12,"Molise","Regione","Region",NA,"Molisa"
13,112,"ITA","Italy",13,"Piemonte","Regione","Region",NA,"Piemont|Piémont|Piemonte|Piedmont"
14,112,"ITA","Italy",14,"Sardegna","Regione","Autonomous Region",NA,"Cerdeña|Sardenha"
15,112,"ITA","Italy",15,"Sicily","Regione","Autonomous Region",NA,"Sicilia"
16,112,"ITA","Italy",16,"Toscana","Regione","Region",NA,"Tuscany|Toscane|Toskana"
17,112,"ITA","Italy",17,"Trentino-Alto Adige","Regione","Autonomous Region",NA,"Trentino - Alto Adige|Trentino-Alto Adigio|Trentino-South Tirol|Venezia Tridentina"
18,112,"ITA","Italy",18,"Umbria","Regione","Region",NA,"Ombrie|Umbrien"
19,112,"ITA","Italy",19,"Valle d'Aosta","Regione","Autonomous Region",NA,"Aosta Valley|Val d'Aoste|Vallée d'Aoste"
20,112,"ITA","Italy",20,"Veneto","Regione","Region",NA,"Venecia|Venetia|Venezia Euganea"
